"","az","date","senat","kammer_txt","richter_txt","anordnung","link"
"1","1 BvR 1753/19",2019-08-12,"1","1","Harbarth,Britz,Radtke",0,"http://www.bverfg.de/e/rk20190812_1bvr175319.html"
"9","2 BvR 686/19",2019-07-24,"2","1","Voßkuhle,Kessal-Wulf,Maidowski",0,"http://www.bverfg.de/e/rk20190724_2bvr068619.html"
"10","1 BvR 684/14",2019-07-23,"1","3","Harbarth,Baer,Ott",0,"http://www.bverfg.de/e/rk20190723_1bvr068414.html"
"11","2 BvR 2484/18",2019-07-19,"2","2","Huber,Kessal-Wulf,König",0,"http://www.bverfg.de/e/rk20190719_2bvr248418.html"
"12","2 BvR 1301/19",2019-07-18,"2","3","Hermanns,Müller,Langenfeld",0,"http://www.bverfg.de/e/rk20190718_2bvr130119.html"
"13","1 BvR 2307/18",2019-07-18,"1","2","Masing,Paulus,Christ",0,"http://www.bverfg.de/e/rk20190718_1bvr230718.html"
"14","1 BvL 1/18",2019-07-18,"1","3","Harbarth,Baer,Ott",0,"http://www.bverfg.de/e/lk20190718_1bvl000118.html"
"15","2 BvR 1082/18",2019-07-18,"2","2","Huber,Kessal-Wulf,König",0,"http://www.bverfg.de/e/rk20190718_2bvr108218.html"
"19","2 BvR 1242/19",2019-07-18,"2","2","Huber,Kessal-Wulf,König",0,"http://www.bverfg.de/e/rk20190718_2bvr124219.html"
"20","2 BvR 1327/18",2019-07-17,"2","2","Huber,Kessal-Wulf,König",0,"http://www.bverfg.de/e/rk20190717_2bvr132718.html"
"21","2 BvR 2158/18",2019-07-17,"2","2","Huber,Kessal-Wulf,König",0,"http://www.bverfg.de/e/rk20190717_2bvr215818.html"
"22","2 BvL 11/19",2019-07-17,"2","2","Huber,Kessal-Wulf,König",0,"http://www.bverfg.de/e/lk20190717_2bvl001119.html"
"23","2 BvQ 60/19",2019-07-17,"2","2","Huber,Kessal-Wulf,König",1,"http://www.bverfg.de/e/qk20190717_2bvq006019.html"
"24","2 BvR 881/17",2019-07-16,"2","3","Hermanns,Müller,Langenfeld",0,"http://www.bverfg.de/e/rk20190716_2bvr088117.html"
"25","2 BvR 1165/19",2019-07-16,"2","2","Huber,Kessal-Wulf,König",0,"http://www.bverfg.de/e/rk20190716_2bvr116519.html"
"26","2 BvR 1258/19",2019-07-16,"2","2","Huber,Kessal-Wulf,König",0,"http://www.bverfg.de/e/rk20190716_2bvr125819.html"
"27","2 BvR 419/19",2019-07-16,"2","2","Huber,Kessal-Wulf,König",0,"http://www.bverfg.de/e/rk20190716_2bvr041919.html"
"28","2 BvR 1108/19",2019-07-15,"2","1","Voßkuhle,Kessal-Wulf,Maidowski",0,"http://www.bverfg.de/e/rk20190715_2bvr110819.html"
"29","1 BvR 1197/19",2019-07-10,"1","2","Masing,Paulus,Christ",0,"http://www.bverfg.de/e/rk20190710_1bvr119719.html"
"30","2 BvR 1545/14",2019-07-10,"2","1","Voßkuhle,Kessal-Wulf,Maidowski",0,"http://www.bverfg.de/e/rk20190710_2bvr154514.html"
"31","2 BvR 547/13",2019-07-09,"2","3","Hermanns,Müller,Langenfeld",0,"http://www.bverfg.de/e/rk20190709_2bvr054713.html"
"32","1 BvR 1257/19",2019-07-09,"1","2","Masing,Paulus,Christ",0,"http://www.bverfg.de/e/rk20190709_1bvr125719.html"
"33","2 BvR 453/19",2019-07-08,"2","2","Huber,Kessal-Wulf,König",0,"http://www.bverfg.de/e/rk20190708_2bvr045319.html"
"34","1 BvR 363/19",2019-07-08,"1","1","Harbarth,Britz,Radtke",0,"http://www.bverfg.de/e/rk20190708_1bvr036319.html"
"35","2 BvR 382/17",2019-07-05,"2","3","Hermanns,Müller,Langenfeld",0,"http://www.bverfg.de/e/rk20190705_2bvr038217.html"
"36","1 BvR 1458/19",2019-07-05,"1","2","Masing,Paulus,Christ",0,"http://www.bverfg.de/e/rk20190705_1bvr145819.html"
"37","2 BvR 818/19",2019-07-05,"2","2","Huber,Kessal-Wulf,König",0,"http://www.bverfg.de/e/rk20190705_2bvr081819.html"
"38","2 BvR 167/18",2019-07-05,"2","2","Huber,Kessal-Wulf,König",0,"http://www.bverfg.de/e/rk20190705_2bvr016718.html"
"39","2 BvQ 40/19",2019-07-05,"2","2","Huber,Kessal-Wulf,König",1,"http://www.bverfg.de/e/qk20190705_2bvq004019.html"
"40","2 BvR 2256/17",2019-07-03,"2","3","Hermanns,Müller,Langenfeld",0,"http://www.bverfg.de/e/rk20190703_2bvr225617.html"
"41","2 BvR 824/15",2019-07-03,"2","3","Hermanns,Müller,Langenfeld",0,"http://www.bverfg.de/e/rk20190703_2bvr082415.html"
"42","2 BvR 427/19",2019-07-02,"2","2","Huber,Kessal-Wulf,König",0,"http://www.bverfg.de/e/rk20190702_2bvr042719.html"
"45","1 BvR 1099/16",2019-07-02,"1","3","Harbarth,Baer,Ott",0,"http://www.bverfg.de/e/rk20190702_1bvr109916.html"
"46","1 BvR 385/16",2019-07-02,"1","3","Harbarth,Baer,Ott",0,"http://www.bverfg.de/e/rk20190702_1bvr038516.html"
"47","1 BvR 1499/19",2019-07-02,"1","3","Harbarth,Baer,Ott",0,"http://www.bverfg.de/e/rk20190702_1bvr149919.html"
"48","1 BvQ 51/19",2019-06-24,"1","2","Masing,Paulus,Christ",1,"http://www.bverfg.de/e/qk20190624_1bvq005119.html"
"51","2 BvR 2299/15",2019-06-19,"2","1","Voßkuhle,Kessal-Wulf,Maidowski",0,"http://www.bverfg.de/e/rk20190619_2bvr229915.html"
"52","2 BvR 2579/17",2019-06-19,"2","2","Huber,Kessal-Wulf,König",0,"http://www.bverfg.de/e/rk20190619_2bvr257917.html"
"53","2 BvR 1092/19",2019-06-18,"2","2","Huber,Kessal-Wulf,König",0,"http://www.bverfg.de/e/rk20190618_2bvr109219.html"
"55","1 BvR 2433/17",2019-06-14,"1","2","Masing,Paulus,Christ",0,"http://www.bverfg.de/e/rk20190614_1bvr243317.html"
"56","1 BvR 1235/17",2019-06-13,"1","2","Masing,Paulus,Christ",0,"http://www.bverfg.de/e/rk20190613_1bvr123517.html"
"57","2 BvR 834/19",2019-06-11,"2","1","Voßkuhle,Kessal-Wulf,Maidowski",0,"http://www.bverfg.de/e/rk20190611_2bvr083419.html"
"58","1 BvR 1011/19",2019-06-04,"1","2","Masing,Paulus,Christ",0,"http://www.bverfg.de/e/rk20190604_1bvr101119.html"
"59","2 BvR 910/19",2019-06-03,"2","2","Huber,Kessal-Wulf,König",0,"http://www.bverfg.de/e/rk20190603_2bvr091019.html"
"60","2 BvR 229/19",2019-06-03,"2","2","Huber,Kessal-Wulf,König",0,"http://www.bverfg.de/e/rk20190603_2bvr022919.html"
"61","2 BvR 217/19",2019-05-29,"2","2","Huber,Kessal-Wulf,König",0,"http://www.bverfg.de/e/rk20190529_2bvr021719.html"
"62","2 BvR 2630/18",2019-05-29,"2","2","Huber,Kessal-Wulf,König",0,"http://www.bverfg.de/e/rk20190529_2bvr263018.html"
"63","1 BvR 876/19",2019-05-28,"1","2","Masing,Paulus,Christ",0,"http://www.bverfg.de/e/rk20190528_1bvr087619.html"
"64","1 BvR 2833/16",2019-05-28,"1","2","Masing,Paulus,Christ",0,"http://www.bverfg.de/e/rk20190528_1bvr283316.html"
"65","1 BvR 2403/16",2019-05-28,"1","1","Harbarth,Britz,Radtke",0,"http://www.bverfg.de/e/rk20190528_1bvr240316.html"
"66","1 BvR 2006/16",2019-05-28,"1","2","Masing,Paulus,Christ",0,"http://www.bverfg.de/e/rk20190528_1bvr200616.html"
"67","2 BvR 2710/18",2019-05-24,"2","2","Huber,Kessal-Wulf,König",0,"http://www.bverfg.de/e/rk20190524_2bvr271018.html"
"68","1 BvQ 45/19",2019-05-24,"1","2","Masing,Paulus,Christ",1,"http://www.bverfg.de/e/qk20190524_1bvq004519.html"
"69","1 BvQ 46/19",2019-05-24,"1","2","Masing,Paulus,Christ",1,"http://www.bverfg.de/e/qk20190524_1bvq004619.html"
"70","1 BvR 673/19",2019-05-24,"1","3","Harbarth,Baer,Ott",0,"http://www.bverfg.de/e/rk20190524_1bvr067319.html"
"71","1 BvR 1724/18",2019-05-23,"1","3","Harbarth,Baer,Ott",0,"http://www.bverfg.de/e/rk20190523_1bvr172418.html"
"72","1 BvQ 42/19",2019-05-22,"1","2","Masing,Paulus,Christ",1,"http://www.bverfg.de/e/qk20190522_1bvq004219.html"
"73","2 BvQ 9/19",2019-05-22,"2","1","Voßkuhle,Kessal-Wulf,Maidowski",1,"http://www.bverfg.de/e/qk20190522_2bvq000919.html"
"74","2 BvR 750/19",2019-05-22,"2","1","Voßkuhle,Kessal-Wulf,Maidowski",0,"http://www.bverfg.de/e/rk20190522_2bvr075019.html"
"75","2 BvR 649/19",2019-05-20,"2","1","Voßkuhle,Kessal-Wulf,Maidowski",0,"http://www.bverfg.de/e/rk20190520_2bvr064919.html"
"77","2 BvR 2425/18",2019-05-15,"2","3","Hermanns,Müller,Langenfeld",0,"http://www.bverfg.de/e/rk20190515_2bvr242518.html"
"78","1 BvQ 43/19",2019-05-15,"1","2","Masing,Paulus,Christ",1,"http://www.bverfg.de/e/qk20190515_1bvq004319.html"
"80","2 BvR 657/19",2019-05-08,"2","1","Voßkuhle,Kessal-Wulf,Maidowski",0,"http://www.bverfg.de/e/rk20190508_2bvr065719.html"
"81","2 BvR 1429/16",2019-05-06,"2","2","Huber,Kessal-Wulf,König",0,"http://www.bverfg.de/e/rk20190506_2bvr142916.html"
"82","1 BvQ 36/19",2019-04-27,"1","2","Masing,Paulus,Christ",1,"http://www.bverfg.de/e/qk20190427_1bvq003619.html"
"84","2 BvQ 45/18",2019-04-25,"2","1","Voßkuhle,Kessal-Wulf,Maidowski",1,"http://www.bverfg.de/e/qk20190425_2bvq004518.html"
"85","2 BvR 1728/16",2019-04-25,"2","2","Huber,Kessal-Wulf,König",0,"http://www.bverfg.de/e/rk20190425_2bvr172816.html"
"86","1 BvR 180/17",2019-04-17,"1","2","Masing,Paulus,Christ",0,"http://www.bverfg.de/e/rk20190417_1bvr018017.html"
"87","1 BvR 30/19",2019-04-16,"1","2","Masing,Paulus,Christ",0,"http://www.bverfg.de/e/rk20190416_1bvr003019.html"
"88","1 BvR 2909/17",2019-04-15,"1","2","Masing,Paulus,Christ",0,"http://www.bverfg.de/e/rk20190415_1bvr290917.html"
"89","1 BvR 1811/17",2019-04-15,"1","2","Masing,Paulus,Christ",0,"http://www.bverfg.de/e/rk20190415_1bvr181117.html"
"92","2 BvR 10/19",2019-04-10,"2","1","Voßkuhle,Kessal-Wulf,Maidowski",0,"http://www.bverfg.de/e/rk20190410_2bvr001019.html"
"93","1 BvR 2284/15",2019-04-10,"1","2","Masing,Paulus,Christ",0,"http://www.bverfg.de/e/rk20190410_1bvr228415.html"
"94","1 BvR 1909/18",2019-04-08,"1","1","Harbarth,Britz,Radtke",0,"http://www.bverfg.de/e/rk20190408_1bvr190918.html"
"95","2 BvR 517/19",2019-04-03,"2","2","Huber,Kessal-Wulf,König",0,"http://www.bverfg.de/e/rk20190403_2bvr051719.html"
"96","2 BvQ 28/19",2019-04-03,"2","3","Hermanns,Müller,Langenfeld",1,"http://www.bverfg.de/e/qk20190403_2bvq002819.html"
"97","2 BvR 328/16",2019-04-03,"2","3","Hermanns,Müller,Langenfeld",0,"http://www.bverfg.de/e/rk20190403_2bvr032816.html"
"98","2 BvR 1845/18",2019-04-03,"2","2","Huber,Kessal-Wulf,König",0,"http://www.bverfg.de/e/rk20190403_2bvr184518.html"
"99","2 BvR 1224/17",2019-04-01,"2","2","Huber,Kessal-Wulf,König",0,"http://www.bverfg.de/e/rk20190401_2bvr122417.html"
"100","2 BvR 382/19",2019-04-01,"2","1","Voßkuhle,Kessal-Wulf,Maidowski",0,"http://www.bverfg.de/e/rk20190401_2bvr038219.html"
"102","2 BvR 2432/18",2019-03-28,"2","1","Voßkuhle,Kessal-Wulf,Maidowski",0,"http://www.bverfg.de/e/rk20190328_2bvr243218.html"
"103","2 BvR 252/19",2019-03-28,"2","3","Hermanns,Müller,Langenfeld",0,"http://www.bverfg.de/e/rk20190328_2bvr025219.html"
"105","2 BvR 2268/18",2019-03-27,"2","2","Huber,Kessal-Wulf,König",0,"http://www.bverfg.de/e/rk20190327_2bvr226818.html"
