"","header","cite","chamber_senate","judges_names","judge1","judge2","judge3","link_decision"
"1","Urteil vom 30. Juli 2019 - 2 BvR 1685/14","BVerfG, Urteil des Zweiten Senats vom 30. Juli 2019 
- 2 BvR 1685/14 -, Rn. (1-320),http://www.bverfg.de/e/rs20190730_2bvr168514.html","
                                 hat das Bundesverfassungsgericht - Zweiter Senat - 
                              
                                 unter Mitwirkung der Richterinnen und Richter 
                             ","Präsident Voßkuhle,  Huber,  Hermanns,  Müller,  Kessal-Wulf,  König,  Maidowski,  Langenfeld ","Präsident Voßkuhle, ","Huber, ","Hermanns, ","http://www.bverfg.de/e/rs20190730_2bvr168514.html"
"2","Beschluss vom 18. Juli 2019 - 2 BvR 1301/19","BVerfG, Beschluss der 3. Kammer des Zweiten Senats vom 18. Juli 2019 
- 2 BvR 1301/19 -, Rn. (1-22),http://www.bverfg.de/e/rk20190718_2bvr130119.html","
                                 hat die 3. Kammer des Zweiten Senats des Bundesverfassungsgerichts durch 
                             ","die Richterin Hermanns,  den Richter Müller  und die Richterin Langenfeld ","die Richterin Hermanns, ","den Richter Müller ","und die Richterin Langenfeld ","http://www.bverfg.de/e/rk20190718_2bvr130119.html"
"3","Beschluss vom 05. Juli 2019 - 2 BvR 167/18","BVerfG, Beschluss der 2. Kammer des Zweiten Senats vom 05. Juli 2019 
- 2 BvR 167/18 -, Rn. (1-50),http://www.bverfg.de/e/rk20190705_2bvr016718.html","
                                 hat die 2. Kammer des Zweiten Senats des Bundesverfassungsgerichts durch 
                             ","den Richter Huber  und die Richterinnen Kessal-Wulf,  König ","den Richter Huber ","und die Richterinnen Kessal-Wulf, ","König ","http://www.bverfg.de/e/rk20190705_2bvr016718.html"
"4","Beschluss vom 03. Juli 2019 - 2 BvR 824/15","BVerfG, Beschluss der 3. Kammer des Zweiten Senats vom 03. Juli 2019 
- 2 BvR 824/15 -, Rn. (1-45),http://www.bverfg.de/e/rk20190703_2bvr082415.html","
                                 hat die 3. Kammer des Zweiten Senats des Bundesverfassungsgerichts durch 
                             ","die Richterin Hermanns,  den Richter Müller  und die Richterin Langenfeld ","die Richterin Hermanns, ","den Richter Müller ","und die Richterin Langenfeld ","http://www.bverfg.de/e/rk20190703_2bvr082415.html"
"5","Beschluss vom 03. Juli 2019 - 2 BvR 2256/17","BVerfG, Beschluss der 3. Kammer des Zweiten Senats vom 03. Juli 2019 
- 2 BvR 2256/17 -, Rn. (1-53),http://www.bverfg.de/e/rk20190703_2bvr225617.html","
                                 hat die 3. Kammer des Zweiten Senats des Bundesverfassungsgerichts durch 
                             ","die Richterin Hermanns,  den Richter Müller  und die Richterin Langenfeld ","die Richterin Hermanns, ","den Richter Müller ","und die Richterin Langenfeld ","http://www.bverfg.de/e/rk20190703_2bvr225617.html"
"6","Beschluss vom 02. Juli 2019 - 2 BvR 427/19","BVerfG, Beschluss der 2. Kammer des Zweiten Senats vom 02. Juli 2019 
- 2 BvR 427/19 -, Rn. (1-5),http://www.bverfg.de/e/rk20190702_2bvr042719.html","
                                 hat die 2. Kammer des Zweiten Senats des Bundesverfassungsgerichts durch 
                             ","den Richter Huber  und die Richterinnen Kessal-Wulf,  König ","den Richter Huber ","und die Richterinnen Kessal-Wulf, ","König ","http://www.bverfg.de/e/rk20190702_2bvr042719.html"
"7","Beschluss vom 02. Juli 2019 - 2 BvR 1685/14","BVerfG, Beschluss des Zweiten Senats vom 02. Juli 2019 
- 2 BvR 1685/14 -, Rn. (1-1),http://www.bverfg.de/e/rs20190702_2bvr168514.html","
                                 hat das Bundesverfassungsgericht - Zweiter Senat - 
                              
                                 unter Mitwirkung der Richterinnen und Richter 
                             ","Präsident Voßkuhle,  Huber,  Hermanns,  Müller,  Kessal-Wulf,  König,  Maidowski,  Langenfeld ","Präsident Voßkuhle, ","Huber, ","Hermanns, ","http://www.bverfg.de/e/rs20190702_2bvr168514.html"
"8","Beschluss vom 02. Juli 2019 - 2 BvE 4/19","BVerfG, Beschluss des Zweiten Senats vom 02. Juli 2019 
- 2 BvE 4/19 -, Rn. (1-31),http://www.bverfg.de/e/es20190702_2bve000419.html","
                                 hat das Bundesverfassungsgericht - Zweiter Senat - 
                              
                                 unter Mitwirkung der Richterinnen und Richter 
                             ","Präsident Voßkuhle,  Huber,  Hermanns,  Müller,  Kessal-Wulf,  König,  Maidowski,  Langenfeld ","Präsident Voßkuhle, ","Huber, ","Hermanns, ","http://www.bverfg.de/e/es20190702_2bve000419.html"
"9","Beschluss vom 02. Juli 2019 - 1 BvR 385/16","BVerfG, Beschluss der 3. Kammer des Ersten Senats vom 02. Juli 2019 
- 1 BvR 385/16 -, Rn. (1-20),http://www.bverfg.de/e/rk20190702_1bvr038516.html","
                                 hat die 3. Kammer des Ersten Senats des Bundesverfassungsgerichts durch 
                             ","den Vizepräsidenten Harbarth  und die Richterinnen Baer,  Ott ","den Vizepräsidenten Harbarth ","und die Richterinnen Baer, ","Ott ","http://www.bverfg.de/e/rk20190702_1bvr038516.html"
"10","Beschluss vom 02. Juli 2019 - 1 BvR 1099/16","BVerfG, Beschluss der 3. Kammer des Ersten Senats vom 02. Juli 2019 
- 1 BvR 1099/16 -, Rn. (1-30),http://www.bverfg.de/e/rk20190702_1bvr109916.html","
                                 hat die 3. Kammer des Ersten Senats des Bundesverfassungsgerichts durch 
                             ","den Vizepräsidenten Harbarth  und die Richterinnen Baer,  Ott ","den Vizepräsidenten Harbarth ","und die Richterinnen Baer, ","Ott ","http://www.bverfg.de/e/rk20190702_1bvr109916.html"
"11","Beschluss vom 24. Juni 2019 - 1 BvQ 51/19","BVerfG, Beschluss der 2. Kammer des Ersten Senats vom 24. Juni 2019 
- 1 BvQ 51/19 -, Rn. (1-18),http://www.bverfg.de/e/qk20190624_1bvq005119.html","
                                 hat die 2. Kammer des Ersten Senats des Bundesverfassungsgerichts durch Richter 
                             ","die Richter Masing,  Paulus,  Christ ","die Richter Masing, ","Paulus, ","Christ ","http://www.bverfg.de/e/qk20190624_1bvq005119.html"
"12","Beschluss vom 19. Juni 2019 - 2 BvQ 23/19","BVerfG, Beschluss des Zweiten Senats vom 19. Juni 2019 
- 2 BvQ 23/19 -, Rn. (1-1),http://www.bverfg.de/e/qs20190619_2bvq002319.html","
                                 hat das Bundesverfassungsgericht - Zweiter Senat - 
                              
                                 unter Mitwirkung der Richterinnen und Richter 
                             ","Präsident Voßkuhle,  Huber,  Hermanns,  Müller,  Kessal-Wulf,  König,  Maidowski,  Langenfeld ","Präsident Voßkuhle, ","Huber, ","Hermanns, ","http://www.bverfg.de/e/qs20190619_2bvq002319.html"
"13","Beschluss vom 19. Juni 2019 - 2 BvR 2299/15","BVerfG, Beschluss der 1. Kammer des Zweiten Senats vom 19. Juni 2019 
- 2 BvR 2299/15 -, Rn. (1-29),http://www.bverfg.de/e/rk20190619_2bvr229915.html","
                                 hat die 1. Kammer des Zweiten Senats des Bundesverfassungsgerichts durch 
                             ","den Präsidenten Voßkuhle,  die Richterin Kessal-Wulf  und den Richter Maidowski ","den Präsidenten Voßkuhle, ","die Richterin Kessal-Wulf ","und den Richter Maidowski ","http://www.bverfg.de/e/rk20190619_2bvr229915.html"
"14","Beschluss vom 19. Juni 2019 - 2 BvR 2579/17","BVerfG, Beschluss der 2. Kammer des Zweiten Senats vom 19. Juni 2019 
- 2 BvR 2579/17 -, Rn. (1-32),http://www.bverfg.de/e/rk20190619_2bvr257917.html","
                                 hat die 2. Kammer des Zweiten Senats des Bundesverfassungsgerichts durch 
                             ","den Richter Huber  und die Richterinnen Kessal-Wulf,  König ","den Richter Huber ","und die Richterinnen Kessal-Wulf, ","König ","http://www.bverfg.de/e/rk20190619_2bvr257917.html"
"15","Beschluss vom 18. Juni 2019 - 2 BvR 1092/19","BVerfG, Beschluss der 2. Kammer des Zweiten Senats vom 18. Juni 2019 
- 2 BvR 1092/19 -, Rn. (1-18),http://www.bverfg.de/e/rk20190618_2bvr109219.html","
                                 hat die 2. Kammer des Zweiten Senats des Bundesverfassungsgerichts durch 
                             ","den Richter Huber  und die Richterinnen Kessal-Wulf,  König ","den Richter Huber ","und die Richterinnen Kessal-Wulf, ","König ","http://www.bverfg.de/e/rk20190618_2bvr109219.html"
