"","aktenzeichen","header","link"
"1","1 BvR 194/13","Beschluss vom 11. Dezember 2013 - 1 BvR 194/13","http://www.bverfg.de/e/rk20131211_1bvr019413.html"
"2","1 BvR 953/11","Beschluss vom 03. Dezember 2013 - 1 BvR 953/11","http://www.bverfg.de/e/rk20131203_1bvr095311.html"
"3","1 BvR 1278/13","Beschluss vom 17. September 2013 - 1 BvR 1278/13","http://www.bverfg.de/e/rk20130917_1bvr127813.html"
"4","1 BvR 347/11","Beschluss vom 20. März 2012 - 1 BvR 347/11","http://www.bverfg.de/e/rk20120320_1bvr034711.html"
"5","2 BvR 1067/10","Beschluss vom 02. Dezember 2010 - 2 BvR 1067/10","http://www.bverfg.de/e/rk20101202_2bvr106710.html"
"6","1 BvR 1201/10","Beschluss vom 15. Juli 2010 - 1 BvR 1201/10","http://www.bverfg.de/e/rk20100715_1bvr120110.html"
"7","2 BvR 432/07","Beschluss vom 08. Juni 2010 - 2 BvR 432/07","http://www.bverfg.de/e/rk20100608_2bvr043207.html"
"8","2 BvR 2365/08","Beschluss vom 05. August 2009 - 2 BvR 2365/08","http://www.bverfg.de/e/rk20090805_2bvr236508.html"
"9","1 BvL 7/08","Beschluss vom 13. Mai 2009 - 1 BvL 7/08","http://www.bverfg.de/e/lk20090513_1bvl000708.html"
"10","2 BvR 718/08","Beschluss vom 13. Mai 2009 - 2 BvR 718/08","http://www.bverfg.de/e/rk20090513_2bvr071808.html"
"11","1 BvR 3478/08","Beschluss vom 15. April 2009 - 1 BvR 3478/08","http://www.bverfg.de/e/rk20090415_1bvr347808.html"
"12","1 BvR 3078/07","Beschluss vom 17. Februar 2009 - 1 BvR 3078/07","http://www.bverfg.de/e/rk20090217_1bvr307807.html"
"13","1 BvR 3396/08","Beschluss vom 08. Dezember 2008 - 1 BvR 3396/08","http://www.bverfg.de/e/rk20081208_1bvr339608.html"
"14","2 BvR 1044/08","Beschluss vom 09. September 2008 - 2 BvR 1044/08","http://www.bverfg.de/e/rk20080909_2bvr104408.html"
"15","2 BvR 939/08","Beschluss vom 01. September 2008 - 2 BvR 939/08","http://www.bverfg.de/e/rk20080901_2bvr093908.html"
"16","1 BvR 853/06","Beschluss vom 27. Dezember 2007 - 1 BvR 853/06","http://www.bverfg.de/e/rk20071227_1bvr085306.html"
"17","1 BvR 3041/07","Beschluss vom 01. Dezember 2007 - 1 BvR 3041/07","http://www.bverfg.de/e/rk20071201_1bvr304107.html"
"18","2 BvR 1387/07","Beschluss vom 08. Oktober 2007 - 2 BvR 1387/07","http://www.bverfg.de/e/rk20071008_2bvr138707.html"
"19","1 BvR 3144/06","Beschluss vom 30. März 2007 - 1 BvR 3144/06","http://www.bverfg.de/e/rk20070330_1bvr314406.html"
"20","2 BvR 2118/05","Beschluss vom 02. Juni 2006 - 2 BvR 2118/05","http://www.bverfg.de/e/rk20060602_2bvr211805.html"
"21","2 BvR 1514/03","Beschluss vom 23. November 2005 - 2 BvR 1514/03","http://www.bverfg.de/e/rk20051123_2bvr151403.html"
"22","2 BvR 1618/05","Beschluss vom 26. Oktober 2005 - 2 BvR 1618/05","http://www.bverfg.de/e/rk20051026_2bvr161805.html"
"23","1 BvR 2566/95","Beschluss vom 28. Juli 2004 - 1 BvR 2566/95","http://www.bverfg.de/e/rk20040728_1bvr256695.html"
"24","2 BvR 2043/03","Beschluss vom 20. April 2004 - 2 BvR 2043/03","http://www.bverfg.de/e/rk20040420_2bvr204303.html"
"25","1 BvR 517/99","Beschluss vom 11. März 2004 - 1 BvR 517/99","http://www.bverfg.de/e/rk20040311_1bvr051799.html"
"26","2 BvR 508/03","Beschluss vom 09. September 2003 - 2 BvR 508/03","http://www.bverfg.de/e/rk20030909_2bvr050803.html"
"27","1 BvR 1355/02","Beschluss vom 03. Juni 2003 - 1 BvR 1355/02","http://www.bverfg.de/e/rk20030603_1bvr135502.html"
"28","2 BvR 575/99","Beschluss vom 18. Dezember 2002 - 2 BvR 575/99","http://www.bverfg.de/e/rk20021218_2bvr057599.html"
"29","2 BvR 1926/99","Beschluss vom 24. Oktober 1999 - 2 BvR 1919/99","http://www.bverfg.de/e/rk19991024_2bvr191999.html"
